KO	gene	gene_name	EC_name	pathway	superpathway
K02288	cpcE	phycocyanobilin lyase subunit alpha	EC:4.4.1.32	Photosynthesis - antenna proteins	Energy metabolism
K02289	cpcF	phycocyanobilin lyase subunit beta	EC:4.4.1.32	Photosynthesis - antenna proteins	Energy metabolism
K20713	rpcG	R-phycocyanin alpha-cysteine-84 phycourobilin lyase/isomerase	EC:4.4.1.33	Photosynthesis - antenna proteins	Energy metabolism
K02631	pecE	phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE	EC:4.4.1.31	Photosynthesis - antenna proteins	Energy metabolism
K02632	pecF	phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecF	EC:4.4.1.31	Photosynthesis - antenna proteins	Energy metabolism
K05384	cpeU	bilin biosynthesis protein	NA	Photosynthesis - antenna proteins	Energy metabolism
K05385	cpeY	bilin biosynthesis protein	NA	Photosynthesis - antenna proteins	Energy metabolism
K05386	cpeZ	bilin biosynthesis protein	NA	Photosynthesis - antenna proteins	Energy metabolism
K01601	rbcL	ribulose-bisphosphate carboxylase large chain	EC:4.1.1.39	Carbon fixation in photosynthetic organisms	Energy metabolism
K01602	rbcS	ribulose-bisphosphate carboxylase small chain	EC:4.1.1.39	Carbon fixation in photosynthetic organisms	Energy metabolism
K00927	PGK	phosphoglycerate kinase	EC:2.7.2.3	Carbon fixation in photosynthetic organisms	Energy metabolism
K00134	GAPDH	glyceraldehyde 3-phosphate dehydrogenase	EC:1.2.1.12	Carbon fixation in photosynthetic organisms	Energy metabolism
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))	EC:1.2.1.59	Carbon fixation in photosynthetic organisms	Energy metabolism
K01623	ALDO	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Carbon fixation in photosynthetic organisms	Energy metabolism
K11645	fbaB	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Carbon fixation in photosynthetic organisms	Energy metabolism
K01624	FBA	fructose-bisphosphate aldolase, class II	EC:4.1.2.13	Carbon fixation in photosynthetic organisms	Energy metabolism
K03841	FBP	fructose-1,6-bisphosphatase I	EC:3.1.3.11	Carbon fixation in photosynthetic organisms	Energy metabolism
K02446	glpX	fructose-1,6-bisphosphatase II	EC:3.1.3.11	Carbon fixation in photosynthetic organisms	Energy metabolism
K11532	glpX-SEBP	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Carbon fixation in photosynthetic organisms	Energy metabolism
K01086	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Carbon fixation in photosynthetic organisms	Energy metabolism
K04041	fbp3	fructose-1,6-bisphosphatase III	EC:3.1.3.11	Carbon fixation in photosynthetic organisms	Energy metabolism
K00615	E2.2.1.1	transketolase	EC:2.2.1.1	Carbon fixation in photosynthetic organisms	Energy metabolism
K01807	rpiA	ribose 5-phosphate isomerase A	EC:5.3.1.6	Carbon fixation in photosynthetic organisms	Energy metabolism
K01808	rpiB	ribose 5-phosphate isomerase B	EC:5.3.1.6	Carbon fixation in photosynthetic organisms	Energy metabolism
K00855	PRK	phosphoribulokinase	EC:2.7.1.19	Carbon fixation in photosynthetic organisms	Energy metabolism
K01803	TPI	triosephosphate isomerase (TIM)	EC:5.3.1.1	Carbon fixation in photosynthetic organisms	Energy metabolism
K01621	xfp	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	EC:4.1.2.9 4.1.2.22	Carbon fixation in photosynthetic organisms	Energy metabolism
K01783	rpe	ribulose-phosphate 3-epimerase	EC:5.1.3.1	Carbon fixation in photosynthetic organisms	Energy metabolism
K01595	ppc	phosphoenolpyruvate carboxylase	EC:4.1.1.31	Carbon fixation in photosynthetic organisms	Energy metabolism
K01610	E4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)	EC:4.1.1.49	Carbon fixation in photosynthetic organisms	Energy metabolism
K00814	GPT	alanine transaminase	EC:2.6.1.2	Carbon fixation in photosynthetic organisms	Energy metabolism
K01006	ppdK	pyruvate, orthophosphate dikinase	EC:2.7.9.1	Carbon fixation in photosynthetic organisms	Energy metabolism
K00029	E1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	EC:1.1.1.40	Carbon fixation in photosynthetic organisms	Energy metabolism
K00024	mdh	malate dehydrogenase	EC:1.1.1.37	Carbon fixation in photosynthetic organisms	Energy metabolism
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit	EC:1.2.7.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit	EC:1.2.7.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K00172	porG	pyruvate ferredoxin oxidoreductase gamma subunit	EC:1.2.7.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit	EC:1.2.7.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K03737	por	pyruvate-ferredoxin/flavodoxin oxidoreductase	EC:1.2.7.1 1.2.7.-	Carbon fixation pathways in prokaryotes	Energy metabolism
K01007	pps	pyruvate, water dikinase	EC:2.7.9.2	Carbon fixation pathways in prokaryotes	Energy metabolism
K01006	ppdK	pyruvate, orthophosphate dikinase	EC:2.7.9.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K01595	ppc	phosphoenolpyruvate carboxylase	EC:4.1.1.31	Carbon fixation pathways in prokaryotes	Energy metabolism
K01958	PC	pyruvate carboxylase	EC:6.4.1.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K01959	pycA	pyruvate carboxylase subunit A	EC:6.4.1.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K01960	pycB	pyruvate carboxylase subunit B	EC:6.4.1.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K00024	mdh	malate dehydrogenase	EC:1.1.1.37	Carbon fixation pathways in prokaryotes	Energy metabolism
K01676	E4.2.1.2A	fumarate hydratase, class I	EC:4.2.1.2	Carbon fixation pathways in prokaryotes	Energy metabolism
K01677	E4.2.1.2AA	fumarate hydratase subunit alpha	EC:4.2.1.2	Carbon fixation pathways in prokaryotes	Energy metabolism
K01678	E4.2.1.2AB	fumarate hydratase subunit beta	EC:4.2.1.2	Carbon fixation pathways in prokaryotes	Energy metabolism
K01679	E4.2.1.2B	fumarate hydratase, class II	EC:4.2.1.2	Carbon fixation pathways in prokaryotes	Energy metabolism
K00239	sdhA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit	EC:1.3.5.1 1.3.5.4	Carbon fixation pathways in prokaryotes	Energy metabolism
K00240	sdhB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	EC:1.3.5.1 1.3.5.4	Carbon fixation pathways in prokaryotes	Energy metabolism
K00241	sdhC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K00242	sdhD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K00244	frdA	fumarate reductase flavoprotein subunit	EC:1.3.5.4	Carbon fixation pathways in prokaryotes	Energy metabolism
K00245	frdB	fumarate reductase iron-sulfur subunit	EC:1.3.5.4	Carbon fixation pathways in prokaryotes	Energy metabolism
K00246	frdC	fumarate reductase subunit C	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K00247	frdD	fumarate reductase subunit D	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K18556	frdA	NADH-dependent fumarate reductase subunit A	EC:1.3.1.6	Carbon fixation pathways in prokaryotes	Energy metabolism
K18557	frdB	NADH-dependent fumarate reductase subunit B	EC:1.3.1.6	Carbon fixation pathways in prokaryotes	Energy metabolism
K18558	frdC	NADH-dependent fumarate reductase subunit C	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K18559	frdD	NADH-dependent fumarate reductase subunit D	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K18560	frdE	NADH-dependent fumarate reductase subunit E	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K18209	tfrA	fumarate reductase (CoM/CoB) subunit A	EC:1.3.4.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K18210	tfrB	fumarate reductase (CoM/CoB) subunit B	EC:1.3.4.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K01902	sucD	succinyl-CoA synthetase alpha subunit	EC:6.2.1.5	Carbon fixation pathways in prokaryotes	Energy metabolism
K01903	sucC	succinyl-CoA synthetase beta subunit	EC:6.2.1.5	Carbon fixation pathways in prokaryotes	Energy metabolism
K15038	K15038	succinyl-CoA reductase	EC:1.2.1.76	Carbon fixation pathways in prokaryotes	Energy metabolism
K14465	K14465	succinate semialdehyde reductase (NADPH)	EC:1.1.1.-	Carbon fixation pathways in prokaryotes	Energy metabolism
K14466	K14466	4-hydroxybutyrate---CoA ligase (AMP-forming)	EC:6.2.1.40	Carbon fixation pathways in prokaryotes	Energy metabolism
K14467	4hbl	4-hydroxybutyrate---CoA ligase (AMP-forming)	EC:6.2.1.40	Carbon fixation pathways in prokaryotes	Energy metabolism
K18861	K18861	4-hydroxybutyrate---CoA ligase (AMP-forming)	EC:6.2.1.40	Carbon fixation pathways in prokaryotes	Energy metabolism
K18593	E6.2.1.56	4-hydroxybutyrate---CoA ligase (ADP-forming)	EC:6.2.1.56	Carbon fixation pathways in prokaryotes	Energy metabolism
K14534	abfD	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase	EC:4.2.1.120 5.3.3.3	Carbon fixation pathways in prokaryotes	Energy metabolism
K15016	K15016	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase	EC:4.2.1.17 1.1.1.35	Carbon fixation pathways in prokaryotes	Energy metabolism
K00626	E2.3.1.9	acetyl-CoA C-acetyltransferase	EC:2.3.1.9	Carbon fixation pathways in prokaryotes	Energy metabolism
K00174	korA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	EC:1.2.7.3 1.2.7.11	Carbon fixation pathways in prokaryotes	Energy metabolism
K00175	korB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	EC:1.2.7.3 1.2.7.11	Carbon fixation pathways in prokaryotes	Energy metabolism
K00177	korC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma	EC:1.2.7.3	Carbon fixation pathways in prokaryotes	Energy metabolism
K00176	korD	2-oxoglutarate ferredoxin oxidoreductase subunit delta	EC:1.2.7.3	Carbon fixation pathways in prokaryotes	Energy metabolism
K00031	IDH1	isocitrate dehydrogenase	EC:1.1.1.42	Carbon fixation pathways in prokaryotes	Energy metabolism
K01681	ACO	aconitate hydratase	EC:4.2.1.3	Carbon fixation pathways in prokaryotes	Energy metabolism
K01682	acnB	aconitate hydratase 2 / 2-methylisocitrate dehydratase	EC:4.2.1.3 4.2.1.99	Carbon fixation pathways in prokaryotes	Energy metabolism
K01648	ACLY	ATP citrate (pro-S)-lyase	EC:2.3.3.8	Carbon fixation pathways in prokaryotes	Energy metabolism
K15230	aclA	ATP-citrate lyase alpha-subunit	EC:2.3.3.8	Carbon fixation pathways in prokaryotes	Energy metabolism
K15231	aclB	ATP-citrate lyase beta-subunit	EC:2.3.3.8	Carbon fixation pathways in prokaryotes	Energy metabolism
K15232	ccsA	citryl-CoA synthetase large subunit	EC:6.2.1.18	Carbon fixation pathways in prokaryotes	Energy metabolism
K15233	ccsB	citryl-CoA synthetase small subunit	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K15234	ccl	citryl-CoA lyase	EC:4.1.3.34	Carbon fixation pathways in prokaryotes	Energy metabolism
K01962	accA	acetyl-CoA carboxylase carboxyl transferase subunit alpha	EC:6.4.1.2 2.1.3.15	Carbon fixation pathways in prokaryotes	Energy metabolism
K02160	accB	acetyl-CoA carboxylase biotin carboxyl carrier protein	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K01961	accC	acetyl-CoA carboxylase, biotin carboxylase subunit	EC:6.4.1.2 6.3.4.14	Carbon fixation pathways in prokaryotes	Energy metabolism
K01963	accD	acetyl-CoA carboxylase carboxyl transferase subunit beta	EC:6.4.1.2 2.1.3.15	Carbon fixation pathways in prokaryotes	Energy metabolism
K01964	K01964	acetyl-CoA/propionyl-CoA carboxylase	EC:6.4.1.2 6.4.1.3	Carbon fixation pathways in prokaryotes	Energy metabolism
K18603	K18603	acetyl-CoA/propionyl-CoA carboxylase	EC:6.4.1.2 6.4.1.3	Carbon fixation pathways in prokaryotes	Energy metabolism
K15036	K15036	acetyl-CoA/propionyl-CoA carboxylase	EC:6.4.1.2 6.4.1.3 2.1.3.15	Carbon fixation pathways in prokaryotes	Energy metabolism
K18604	K18604	acetyl-CoA/propionyl-CoA carboxylase	EC:6.4.1.2 6.4.1.3 2.1.3.15	Carbon fixation pathways in prokaryotes	Energy metabolism
K15037	K15037	biotin carboxyl carrier protein	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K18605	K18605	biotin carboxyl carrier protein	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K14468	mcr	malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+)	EC:1.2.1.75 1.1.1.298	Carbon fixation pathways in prokaryotes	Energy metabolism
K15017	K15017	malonyl-CoA/succinyl-CoA reductase (NADPH)	EC:1.2.1.75 1.2.1.76	Carbon fixation pathways in prokaryotes	Energy metabolism
K15039	K15039	3-hydroxypropionate dehydrogenase (NADP+)	EC:1.1.1.298	Carbon fixation pathways in prokaryotes	Energy metabolism
K18602	K18602	malonic semialdehyde reductase	EC:1.1.1.-	Carbon fixation pathways in prokaryotes	Energy metabolism
K14469	K14469	acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase	EC:1.3.1.84 4.2.1.116 6.2.1.36	Carbon fixation pathways in prokaryotes	Energy metabolism
K15018	K15018	3-hydroxypropionyl-coenzyme A synthetase	EC:6.2.1.36	Carbon fixation pathways in prokaryotes	Energy metabolism
K18594	K18594	3-hydroxypropionyl-CoA synthetase (ADP-forming)	EC:6.2.1.-	Carbon fixation pathways in prokaryotes	Energy metabolism
K15019	K15019	3-hydroxypropionyl-coenzyme A dehydratase	EC:4.2.1.116	Carbon fixation pathways in prokaryotes	Energy metabolism
K15020	K15020	acryloyl-coenzyme A reductase	EC:1.3.1.84	Carbon fixation pathways in prokaryotes	Energy metabolism
K08691	mcl	malyl-CoA/(S)-citramalyl-CoA lyase	EC:4.1.3.24 4.1.3.25	Carbon fixation pathways in prokaryotes	Energy metabolism
K14449	mch	2-methylfumaryl-CoA hydratase	EC:4.2.1.148	Carbon fixation pathways in prokaryotes	Energy metabolism
K14470	mct	2-methylfumaryl-CoA isomerase	EC:5.4.1.3	Carbon fixation pathways in prokaryotes	Energy metabolism
K09709	meh	3-methylfumaryl-CoA hydratase	EC:4.2.1.153	Carbon fixation pathways in prokaryotes	Energy metabolism
K15052	K15052	propionyl-CoA carboxylase	EC:6.4.1.3 2.1.3.15	Carbon fixation pathways in prokaryotes	Energy metabolism
K05606	MCEE	methylmalonyl-CoA/ethylmalonyl-CoA epimerase	EC:5.1.99.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K01847	MUT	methylmalonyl-CoA mutase	EC:5.4.99.2	Carbon fixation pathways in prokaryotes	Energy metabolism
K01848	E5.4.99.2A	methylmalonyl-CoA mutase, N-terminal domain	EC:5.4.99.2	Carbon fixation pathways in prokaryotes	Energy metabolism
K01849	E5.4.99.2B	methylmalonyl-CoA mutase, C-terminal domain	EC:5.4.99.2	Carbon fixation pathways in prokaryotes	Energy metabolism
K14471	smtA1	succinyl-CoA:(S)-malate CoA-transferase subunit A	EC:2.8.3.22	Carbon fixation pathways in prokaryotes	Energy metabolism
K14472	smtB	succinyl-CoA:(S)-malate CoA-transferase subunit B	EC:2.8.3.22	Carbon fixation pathways in prokaryotes	Energy metabolism
K05299	fdhA	formate dehydrogenase (NADP+) alpha subunit	EC:1.17.1.10	Carbon fixation pathways in prokaryotes	Energy metabolism
K15022	fdhB	formate dehydrogenase (NADP+) beta subunit	EC:1.17.1.10	Carbon fixation pathways in prokaryotes	Energy metabolism
K01938	fhs	formate--tetrahydrofolate ligase	EC:6.3.4.3	Carbon fixation pathways in prokaryotes	Energy metabolism
K01491	folD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	EC:1.5.1.5 3.5.4.9	Carbon fixation pathways in prokaryotes	Energy metabolism
K00297	metF	methylenetetrahydrofolate reductase (NADPH)	EC:1.5.1.20	Carbon fixation pathways in prokaryotes	Energy metabolism
K15023	acsE	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase	EC:2.1.1.258	Carbon fixation pathways in prokaryotes	Energy metabolism
K00198	cooS	anaerobic carbon-monoxide dehydrogenase catalytic subunit	EC:1.2.7.4	Carbon fixation pathways in prokaryotes	Energy metabolism
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	NA	Carbon fixation pathways in prokaryotes	Energy metabolism
K14138	acsB	acetyl-CoA synthase	EC:2.3.1.169	Carbon fixation pathways in prokaryotes	Energy metabolism
K00197	cdhE	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma	EC:2.1.1.245	Carbon fixation pathways in prokaryotes	Energy metabolism
K00194	cdhD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta	EC:2.1.1.245	Carbon fixation pathways in prokaryotes	Energy metabolism
K00625	E2.3.1.8	phosphate acetyltransferase	EC:2.3.1.8	Carbon fixation pathways in prokaryotes	Energy metabolism
K13788	pta	phosphate acetyltransferase	EC:2.3.1.8	Carbon fixation pathways in prokaryotes	Energy metabolism
K15024	K15024	putative phosphotransacetylase	EC:2.3.1.8	Carbon fixation pathways in prokaryotes	Energy metabolism
K00925	ackA	acetate kinase	EC:2.7.2.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K01895	ACSS1_2	acetyl-CoA synthetase	EC:6.2.1.1	Carbon fixation pathways in prokaryotes	Energy metabolism
K16161	mmoC	methane monooxygenase component C	EC:1.14.13.25	Methane metabolism	Energy metabolism
K14028	mdh1	methanol dehydrogenase (cytochrome c) subunit 1	EC:1.1.2.7	Methane metabolism	Energy metabolism
K16254	mxaJ	mxaJ protein	NA	Methane metabolism	Energy metabolism
K16255	mxaG	cytochrome c-L	NA	Methane metabolism	Energy metabolism
K16256	mxaA	mxaA protein	NA	Methane metabolism	Energy metabolism
K16257	mxaC	mxaC protein	NA	Methane metabolism	Energy metabolism
K16258	mxaK	mxaK protein	NA	Methane metabolism	Energy metabolism
K16259	mxaL	mxaL protein	NA	Methane metabolism	Energy metabolism
K16260	mxaD	mxaD protein	NA	Methane metabolism	Energy metabolism
K23995	xoxF	lanthanide-dependent methanol dehydrogenase	EC:1.1.2.10	Methane metabolism	Energy metabolism
K00093	mdh	methanol dehydrogenase	EC:1.1.1.244	Methane metabolism	Energy metabolism
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase	EC:1.2.1.46	Methane metabolism	Energy metabolism
K17067	mdo	formaldehyde dismutase / methanol dehydrogenase	EC:1.2.98.1 1.1.99.37	Methane metabolism	Energy metabolism
K00121	frmA	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	EC:1.1.1.284 1.1.1.1	Methane metabolism	Energy metabolism
K01070	frmB	S-formylglutathione hydrolase	EC:3.1.2.12	Methane metabolism	Energy metabolism
K00122	FDH	formate dehydrogenase	EC:1.17.1.9	Methane metabolism	Energy metabolism
K00123	fdoG	formate dehydrogenase major subunit	EC:1.17.1.9	Methane metabolism	Energy metabolism
K22515	fdwB	formate dehydrogenase beta subunit	EC:1.17.1.9	Methane metabolism	Energy metabolism
K00124	fdoH	formate dehydrogenase iron-sulfur subunit	NA	Methane metabolism	Energy metabolism
K00127	fdoI	formate dehydrogenase subunit gamma	NA	Methane metabolism	Energy metabolism
K22516	fdhA	formate dehydrogenase (coenzyme F420) alpha subunit	EC:1.17.98.3 1.8.98.6	Methane metabolism	Energy metabolism
K00125	fdhB	formate dehydrogenase (coenzyme F420) beta subunit	EC:1.17.98.3 1.8.98.6	Methane metabolism	Energy metabolism
K05299	fdhA	formate dehydrogenase (NADP+) alpha subunit	EC:1.17.1.10	Methane metabolism	Energy metabolism
K15022	fdhB	formate dehydrogenase (NADP+) beta subunit	EC:1.17.1.10	Methane metabolism	Energy metabolism
K00192	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha	EC:1.2.7.4	Methane metabolism	Energy metabolism
K00193	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta	EC:2.3.1.169	Methane metabolism	Energy metabolism
K00197	cdhE	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma	EC:2.1.1.245	Methane metabolism	Energy metabolism
K00194	cdhD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta	EC:2.1.1.245	Methane metabolism	Energy metabolism
K00198	cooS	anaerobic carbon-monoxide dehydrogenase catalytic subunit	EC:1.2.7.4	Methane metabolism	Energy metabolism
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	NA	Methane metabolism	Energy metabolism
K00600	glyA	glycine hydroxymethyltransferase	EC:2.1.2.1	Methane metabolism	Energy metabolism
K00830	AGXT	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase	EC:2.6.1.44 2.6.1.45 2.6.1.51	Methane metabolism	Energy metabolism
K00018	hprA	glycerate dehydrogenase	EC:1.1.1.29	Methane metabolism	Energy metabolism
K11529	gck	glycerate 2-kinase	EC:2.7.1.165	Methane metabolism	Energy metabolism
K01689	ENO	enolase	EC:4.2.1.11	Methane metabolism	Energy metabolism
K01595	ppc	phosphoenolpyruvate carboxylase	EC:4.1.1.31	Methane metabolism	Energy metabolism
K00024	mdh	malate dehydrogenase	EC:1.1.1.37	Methane metabolism	Energy metabolism
K08692	mtkB	malate-CoA ligase subunit alpha	EC:6.2.1.9	Methane metabolism	Energy metabolism
K14067	mtkA	malate-CoA ligase subunit beta	EC:6.2.1.9	Methane metabolism	Energy metabolism
K08691	mcl	malyl-CoA/(S)-citramalyl-CoA lyase	EC:4.1.3.24 4.1.3.25	Methane metabolism	Energy metabolism
K00863	DAK	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)	EC:2.7.1.28 2.7.1.29 4.6.1.15	Methane metabolism	Energy metabolism
K01623	ALDO	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Methane metabolism	Energy metabolism
K11645	fbaB	fructose-bisphosphate aldolase, class I	EC:4.1.2.13	Methane metabolism	Energy metabolism
K01624	FBA	fructose-bisphosphate aldolase, class II	EC:4.1.2.13	Methane metabolism	Energy metabolism
K16305	K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase	EC:4.1.2.13 2.2.1.11	Methane metabolism	Energy metabolism
K16306	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	EC:4.1.2.13 2.2.1.10	Methane metabolism	Energy metabolism
K03841	FBP	fructose-1,6-bisphosphatase I	EC:3.1.3.11	Methane metabolism	Energy metabolism
K02446	glpX	fructose-1,6-bisphosphatase II	EC:3.1.3.11	Methane metabolism	Energy metabolism
K11532	glpX-SEBP	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Methane metabolism	Energy metabolism
K01086	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase	EC:3.1.3.11 3.1.3.37	Methane metabolism	Energy metabolism
K04041	fbp3	fructose-1,6-bisphosphatase III	EC:3.1.3.11	Methane metabolism	Energy metabolism
K00850	pfkA	6-phosphofructokinase 1	EC:2.7.1.11	Methane metabolism	Energy metabolism
K16370	pfkB	6-phosphofructokinase 2	EC:2.7.1.11	Methane metabolism	Energy metabolism
K21071	pfk	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase	EC:2.7.1.11 2.7.1.90	Methane metabolism	Energy metabolism
K00918	pfkC	ADP-dependent phosphofructokinase/glucokinase	EC:2.7.1.146 2.7.1.147	Methane metabolism	Energy metabolism
K08094	hxlB	6-phospho-3-hexuloisomerase	EC:5.3.1.27	Methane metabolism	Energy metabolism
K08093	hxlA	3-hexulose-6-phosphate synthase	EC:4.1.2.43	Methane metabolism	Energy metabolism
K13812	fae-hps	bifunctional enzyme Fae/Hps	EC:4.2.1.147 4.1.2.43	Methane metabolism	Energy metabolism
K13831	hps-phi	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase	EC:4.1.2.43 5.3.1.27	Methane metabolism	Energy metabolism
K00317	dmd-tmd	dimethylamine/trimethylamine dehydrogenase	EC:1.5.8.1 1.5.8.2	Methane metabolism	Energy metabolism
K18277	tmm	trimethylamine monooxygenase	EC:1.14.13.148	Methane metabolism	Energy metabolism
K07811	torA	trimethylamine-N-oxide reductase (cytochrome c)	EC:1.7.2.3	Methane metabolism	Energy metabolism
K03532	torC	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC	NA	Methane metabolism	Energy metabolism
K03533	torD	TorA specific chaperone	NA	Methane metabolism	Energy metabolism
K07821	torY	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY	NA	Methane metabolism	Energy metabolism
K07812	torZ	trimethylamine-N-oxide reductase (cytochrome c)	EC:1.7.2.3	Methane metabolism	Energy metabolism
K15229	mauB	methylamine dehydrogenase heavy chain	EC:1.4.9.1	Methane metabolism	Energy metabolism
K22081	mgsA	methylamine---glutamate N-methyltransferase subunit A	EC:2.1.1.21	Methane metabolism	Energy metabolism
K22082	mgsB	methylamine---glutamate N-methyltransferase subunit B	EC:2.1.1.21	Methane metabolism	Energy metabolism
K22083	mgsC	methylamine---glutamate N-methyltransferase subunit C	EC:2.1.1.21	Methane metabolism	Energy metabolism
K22084	mgdA	methylglutamate dehydrogenase subunit A	EC:1.5.99.5	Methane metabolism	Energy metabolism
K22085	mgdB	methylglutamate dehydrogenase subunit B	EC:1.5.99.5	Methane metabolism	Energy metabolism
K22086	mgdC	methylglutamate dehydrogenase subunit C	EC:1.5.99.5	Methane metabolism	Energy metabolism
K22087	mgdD	methylglutamate dehydrogenase subunit D	EC:1.5.99.5	Methane metabolism	Energy metabolism
K00200	fwdA	formylmethanofuran dehydrogenase subunit A	EC:1.2.7.12	Methane metabolism	Energy metabolism
K00201	fwdB	formylmethanofuran dehydrogenase subunit B	EC:1.2.7.12	Methane metabolism	Energy metabolism
K00202	fwdC	formylmethanofuran dehydrogenase subunit C	EC:1.2.7.12	Methane metabolism	Energy metabolism
K00203	fwdD	formylmethanofuran dehydrogenase subunit D	EC:1.2.7.12	Methane metabolism	Energy metabolism
K00204	fwdH	4Fe-4S ferredoxin	NA	Methane metabolism	Energy metabolism
K00205	fwdF	4Fe-4S ferredoxin	NA	Methane metabolism	Energy metabolism
K11260	fwdG	4Fe-4S ferredoxin	NA	Methane metabolism	Energy metabolism
K11261	fwdE	formylmethanofuran dehydrogenase subunit E	EC:1.2.7.12	Methane metabolism	Energy metabolism
K01499	mch	methenyltetrahydromethanopterin cyclohydrolase	EC:3.5.4.27	Methane metabolism	Energy metabolism
K00440	frhA	coenzyme F420 hydrogenase subunit alpha	EC:1.12.98.1	Methane metabolism	Energy metabolism
K00441	frhB	coenzyme F420 hydrogenase subunit beta	EC:1.12.98.1	Methane metabolism	Energy metabolism
